id,display_name,alt_names,street,postnummer,ort,kommun,lan,lat,lon,svardighet
224,Jernet 7 Brf,,Ploggatan 10,11636,Stockholm,Stockholms kommun,Stockholms län,59.3132935,18.0919643,2
225,Härolden nr 38 Brf,,Pipersgatan 26,11228,Stockholm,Stockholms kommun,Stockholms län,59.3317686,18.0465035,2
226,Brunnsvikens Park Brf,,Pipers väg 165,17072,Bergshamra,Solna kommun,Stockholms län,59.3778547,18.0335680,2
227,Flygmekanikern i Stockholm HSB Brf,,Pilvingegatan,12835,Stockholm,Stockholms kommun,Stockholms län,59.2690783,18.1280790,2
228,Morellträdet 5 (6173),,Pilgatan 21,11212,Stockholm,Stockholms kommun,Stockholms län,59.3299814,18.0394811,2
229,Hundgården Samfällighetsförening,,Persikogatan,16563,Hässelby strand,Stockholms kommun,Stockholms län,59.3626847,17.8314923,2
230,Polarstjärnan Brf,,Per Lindeströms Väg 84,12146,Stockholm,Stockholms kommun,Stockholms län,59.2973271,18.1027162,2
231,Sjöfararen 4 Brf,,Per Lindeströms Väg 121,12146,Stockholm,Stockholms kommun,Stockholms län,59.2958992,18.1053656,2
232,Paviljongen i Huddinge Brf,,Patron Pehrs väg,14135,Huddinge,Huddinge kommun,Stockholms län,59.2359784,17.9772621,2
233,Ursholmen Brf,,Paternostervägen 92,12149,Stockholm,Stockholms kommun,Stockholms län,59.2907693,18.1058255,2
234,Måseskär 3 Brf,,Paternostervägen 46,12149,Stockholm,Stockholms kommun,Stockholms län,59.2911699,18.1006579,2
235,Oljemålningen nr 1 Brf,,Pastellvägen 8,12136,Stockholm,Stockholms kommun,Stockholms län,59.2928212,18.0865576,2
236,Bananen 11 Brf,,Parmmätargatan 9,11221,Stockholm,Stockholms kommun,Stockholms län,59.3289923,18.0471201,2
237,Barkborren 9 Brf,,Palandergatan 17,12137,Stockholm,Stockholms kommun,Stockholms län,59.2966869,18.0887092,2
239,Brf Gräshoppan 2,,Olaus Magnus Väg,12126,Stockholm,Stockholms kommun,Stockholms län,59.2983525,18.0859772,2
240,Ekoparken i Solna Brf,,Odlingsvägen,17076,Bergshamra,Solna kommun,Stockholms län,59.3787567,18.0383517,2
241,Nebulosan 16 Brf,,Odengatan 89,11324,Stockholm,Stockholms kommun,Stockholms län,59.3416337,18.0465203,2
242,Karlavagnen 11 Brf,,Odengatan 75,11328,Stockholm,Stockholms kommun,Stockholms län,59.3424277,18.0497244,2
243,Roslagen 4 Brf,,Odengatan 31,11356,Stockholm,Stockholms kommun,Stockholms län,59.3451291,18.0606415,2
244,Brf Lövsångaren 3,,Odengatan 21,11424,Stockholm,Stockholms kommun,Stockholms län,59.3458497,18.0635598,2
245,Trasten 19 Brf,,Odengatan 12,11424,Stockholm,Stockholms kommun,Stockholms län,59.3463063,18.0642429,2
246,Näckrosen i Solna,,Näckrosvägen 5,16937,Solna,Solna kommun,Stockholms län,59.3690522,17.9858725,2
247,Slagrutan Brf,,Näckrosvägen 31A,16937,Solna,Solna kommun,Stockholms län,59.3691617,17.9837140,2
248,HSB Bostadsrättsförening Fagerliden,,Nyängsvägen 6-8,14630,Tullinge,Botkyrka kommun,Stockholms län,59.2079638,17.9065525,2
249,Tullingedal Brf,,Nyängsvägen 4,14630,Tullinge,Botkyrka kommun,Stockholms län,59.2075286,17.9060539,2
250,Alba Stora Mossen,,Nyängsvägen,16758,Stockholm,Stockholms kommun,Stockholms län,59.3310676,17.9583536,2
251,Åskbollen Brf,,Nynäsvägen 306,12234,Stockholm,Stockholms kommun,Stockholms län,59.2862951,18.0884295,2
252,Rådjuret u.p.a Bf,,Nybrogatan 73,11449,Stockholm,Stockholms kommun,Stockholms län,59.3401824,18.0814670,2
253,Brf Nybrogatan 63,,Nybrogatan 63,11449,Stockholm,Stockholms kommun,Stockholms län,59.3390530,18.0805866,2
254,Brunfisken 24 Brf,,Nybrogatan 37,11439,Stockholm,Stockholms kommun,Stockholms län,59.3364088,18.0785282,2
255,Järnlodet 9 Brf,,Nybrogatan 26,11439,Stockholm,Stockholms kommun,Stockholms län,59.3356572,18.0782596,2
256,Adlern Mindre Brf,,Norrtullsgatan 9,11329,Stockholm,Stockholms kommun,Stockholms län,59.3417797,18.0519259,2
257,Norrtullsgatan 61 Brf,,Norrtullsgatan 61,11345,Stockholm,Stockholms kommun,Stockholms län,59.3488552,18.0449190,2
258,Hugin 2 Brf,,Norrtullsgatan 51,11345,Stockholm,Stockholms kommun,Stockholms län,59.3470350,18.0467205,2
259,Kejsarkronan nr 9 Brf,,Norrtullsgatan 21,11327,Stockholm,Stockholms kommun,Stockholms län,59.3436233,18.0500955,2
260,Urnan 27 Brf,,Norrbackagatan 54,11334,Stockholm,Stockholms kommun,Stockholms län,59.3429053,18.0316691,2
261,Skålen 16-17 Brf,,Norra Stationsgatan 117,11334,Stockholm,Stockholms kommun,Stockholms län,59.3437723,18.0283803,2
262,Pontonen 1 Brf,,Norr Mälarstrand 68,11235,Stockholm,Stockholms kommun,Stockholms län,59.3282673,18.0331107,2
263,Vattuormen nr 33 Brf,,Norr Mälarstrand 26,11220,Stockholm,Stockholms kommun,Stockholms län,59.3268586,18.0448013,2
264,Grönland 23 Brf,,Nordenskiöldsgatan 86,11521,Stockholm,Stockholms kommun,Stockholms län,59.3227041,18.1011204,2
265,Harpan 20 Brf,,Narvavägen 29,11460,Stockholm,Stockholms kommun,Stockholms län,59.3362106,18.0904713,2
266,Pennan 22 Brf,,Möregatan 6,11829,Stockholm,Stockholms kommun,Stockholms län,59.3118769,18.0698248,2
267,Läskpapperet i Stockholm HSB Brf,,Mölndalsbacken 2,12266,Stockholm,Stockholms kommun,Stockholms län,59.2698953,18.0597016,2
268,Parklinden i Söderdalen Brf,,Mäldgränd 3,17741,Järfälla kommun,Järfälla kommun,Stockholms län,59.4160286,17.8309633,2
270,Skogslinnéan Brf,,Murkelvägen 9,19251,Sollentuna kommun,Sollentuna kommun,Stockholms län,59.4399549,17.9743430,2
271,Stora Mossen 4 Brf,,Mosskroken 8,16758,Stockholm,Stockholms kommun,Stockholms län,59.3301587,17.9589342,2
272,Hällens Park Brf,,Morängatan 20d,74147,Alsike,Knivsta kommun,Uppsala län,59.7594444,17.7757164,2
273,Kajplats Kvarnholmen Brf,,Mjölnarvägen,13136,Nacka,Nacka kommun,Stockholms län,59.3174330,18.1364210,2
274,Sprängskottet Brf,,Minnebergsvägen 12,16741,Stockholm,Stockholms kommun,Stockholms län,59.3362763,17.9872770,2
275,Radiusfabriken Brf,,Midsommargränd 11,12629,Stockholm,Stockholms kommun,Stockholms län,59.2988714,18.0048645,2
276,Bolinders Terrass Brf,,Maskinistvägen,17669,Järfälla kommun,Järfälla kommun,Stockholms län,59.4554085,17.8010126,2
277,Entréhuset Brf,,Marieviksgatan 38,11760,Stockholm,Stockholms kommun,Stockholms län,59.3087584,18.0282661,2
278,Tegelladan 1 Brf,,Maria Sandels Gränd 2,11229,Stockholm,Stockholms kommun,Stockholms län,59.3337009,18.0433890,2
279,Bergsgruvan Större 50 i Stockholm Brf,,Maria Prästgårdsgata 37,11851,Stockholm,Stockholms kommun,Stockholms län,59.3152150,18.0579554,2
280,Fatbursbrunnen i Stockholm HSB Brf,,Maria Prästgårdsgata 19,11855,Stockholm,Stockholms kommun,Stockholms län,59.3159071,18.0623916,2
281,Fatbursbrunnen 8 Brf,,Maria Prästgårdsgata 17,11852,Stockholm,Stockholms kommun,Stockholms län,59.3159419,18.0626882,2
282,Brf Mono,,Maria Bangata 2,11853,Stockholm,Stockholms kommun,Stockholms län,59.3140429,18.0554457,2
283,Malmparken 1 Brf,,Malmvägen 14C,19160,Sollentuna kommun,Sollentuna kommun,Stockholms län,59.4272253,17.9448242,2
284,Johannes Plan 1-3 Brf,,Malmskillnadsgatan 49,11138,Stockholm,Stockholms kommun,Stockholms län,59.3375015,18.0645703,2
285,Tellusborg HSB i Stockholm Brf,,Majstångsvägen,12633,Stockholm,Stockholms kommun,Stockholms län,59.3030220,18.0089948,2
286,Ranka Brf,,Maja Snis gata 2,13451,Gustavsberg,Värmdö kommun,Stockholms län,59.3204036,18.3869925,2
287,Lövriket Brf,,Lövåsvägen 21,16733,Stockholm,Stockholms kommun,Stockholms län,59.3378261,17.9657726,2
288,Lillys Kvarter Brf,,Lövkojsgränd,16575,Hässelby Villastad,Stockholms kommun,Stockholms län,59.3796293,17.8141327,2
289,T1 Fabriksp Brf,,Löfströms allé,17275,Sundbybergs kommun,Sundbybergs kommun,Stockholms län,59.3653442,17.9564950,2
291,Bf Bulten u.p.a,,Långholmsgatan 13,11733,Stockholm,Stockholms kommun,Stockholms län,59.3169809,18.0332925,2
292,Bulten 22 Brf,,Långholmsgatan 11,11733,Stockholm,Stockholms kommun,Stockholms län,59.3171361,18.0332059,2
294,Essinge Terrass Brf,,Luxgatan 25,11267,Stockholm,Stockholms kommun,Stockholms län,59.3235187,18.0048384,2
295,Luxgaragets Samfällighetsförening,,Luxgatan,11267,Stockholm,Stockholms kommun,Stockholms län,59.3235990,18.0049486,2
296,Essinge Park Brf,,Luxgatan 15,11267,Stockholm,Stockholms kommun,Stockholms län,59.3234403,18.0068551,2
297,Luntmakargatan 63 Brf,,Luntmakargatan 63,11357,Stockholm,Stockholms kommun,Stockholms län,59.3403770,18.0604554,2
298,Jägaren Brf,,Luntmakargatan 54,11358,Stockholm,Stockholms kommun,Stockholms län,59.3403611,18.0606378,2
299,Den Lilla Oxen Brf,,Luntmakargatan 36,11134,Stockholm,Stockholms kommun,Stockholms län,59.3387937,18.0622524,2
300,Ludvigsberg i Stockholm Brf,,Ludvigsbergsgatan 17-19,11825,Stockholm,Stockholms kommun,Stockholms län,59.3195467,18.0546018,2
301,Rösjön i Sollentuna Brf,,Lomvägen 30,19256,Sollentuna kommun,Danderyds kommun,Stockholms län,59.4306306,18.0027432,2
